Obs	log_k_s2o4_disp	log_k_s2o4_o2	log_k_s2o4_fe3	log_sitefrac	log_k_fe2_o2_fast	log_factor_k_fe2_o2_slow	log_k_fe2_cr6_fast	log_factor_k_fe2_cr6_slow	log_is2o4	log_ifeoh3	log_q	log_aqfrac	log_k_fe2aq_o2	log_k_fe2aq_cr6
Cr6_Obs_t32	4262111400000004e-21	-15834999999991353e-25	-10973600999999953e-22	-4265845999999995e-21	4852800000002157e-24	-9727999999966985e-25	-35455005999999964e-22	-3864910000000059e-23	-19005921999999957e-22	-33757606999999976e-22	7109588000000035e-22	1256070500000005e-21	-474799999998622e-24	-12539999999748992e-26
Cr6_Obs_t33	4432553899999994e-21	-16488000000009588e-25	-11415099000000041e-22	-4438382900000001e-21	563210000000209e-23	-1255200000000428e-24	-36692506999999992e-22	-4023590000000111e-23	-19770704999999977e-22	-3513039800000004e-21	7383280999999984e-22	13072576000000014e-22	-4930000000011149e-25	17800000001041917e-27
Cr6_Obs_t34	4608940800000002e-21	-1715999999994852e-24	-11871881000000007e-22	-4616897399999998e-21	6494000000000959e-24	-1562100000001975e-24	-37963778999999975e-22	-41879099999998696e-24	-2056232700000001e-21	-3655207299999997e-21	7688244000000031e-22	13601016000000006e-22	-5115999999965885e-25	6970000000084401e-26
Cr6_Obs_t35	47920392999999965e-22	-1785699999999931e-24	-12346138000000026e-22	-4802238e-12	744459999999336e-23	-18952000000011537e-25	-3927518400000001e-21	-43587100000002644e-24	-2138455400000004e-21	-38028816000000023e-22	8012173000000014e-22	14149308999999954e-22	-5311000000016795e-25	8950000000067059e-26
Cr6_Obs_t36	4982369099999996e-21	-18578999999992561e-25	-1283896300000002e-21	-4994828100000002e-21	8490000000003539e-24	-2256199999997778e-24	-4062950900000004e-21	-4536359999999885e-23	-22238239000000005e-22	-3956381399999999e-21	8350424999999968e-22	14718989e-13	-5513000000029571e-25	9859999999768188e-26
Cr6_Obs_t37	5180361400000006e-21	-19324000000005712e-25	-13351052999999995e-22	-51949367e-13	9635799999996754e-24	-26467000000018868e-25	-4202824200000002e-21	-47211200000000975e-24	-2312316000000003e-21	-4115916599999998e-21	8701461000000045e-22	15310953000000035e-22	-5720999999979409e-25	10429999999930035e-26
Cr6_Obs_t38	5386374699999996e-21	-20089999999989164e-25	-13882982999999984e-22	-5402786599999998e-21	10887599999997554e-24	-3068000000003373e-24	-43472451e-13	-4913240000000327e-23	-24039154000000008e-22	-42816654000000016e-22	9065211999999979e-22	15925899999999938e-22	-5937999999983069e-25	1090000000015265e-25
Cr6_Obs_t39	5600686099999994e-21	-20872000000073007e-25	-1443534200000007e-21	-5618609400000007e-21	12251299999995578e-24	-3521600000001325e-24	-4496318600000003e-21	-5112920000000028e-23	-24986837000000018e-22	-4453814600000001e-21	9442441999999954e-22	16564530999999998e-22	-6163000000058101e-25	11349999999879199e-26
Cr6_Obs_t40	5823503399999996e-21	-21680000000039406e-25	-1500881600000003e-21	-5842674999999999e-21	13732099999996981e-24	-4009699999999488e-24	-4650167500000002e-21	-5320440000000218e-23	-25967852000000025e-22	-4632582100000001e-21	983437000000001e-21	17227652000000038e-22	-6395000000010295e-25	11810000000277295e-26
Cr6_Obs_t41	60550041e-13	-22539000000042577e-25	-1560422499999996e-21	-6075303299999998e-21	15335199999995218e-24	-45356999999932555e-25	-48089405999999955e-22	-5536109999999264e-23	-2698469799999997e-21	-4818226199999997e-21	10242378000000036e-22	17916215000000089e-22	-6636000000016313e-25	12279999999652877e-26
Cr6_Obs_t42	6295385799999995e-21	-23465000000055857e-25	-16222513000000022e-22	-6316862200000002e-21	1706659999999511e-23	-51029999999991954e-25	-49728110000000035e-22	-5760300000000419e-23	-2804031200000002e-21	-5011044200000001e-21	10667799999999915e-22	18631315999999969e-22	-6886000000033801e-25	12769999999524525e-26
Cr6_Obs_t43	6544903800000006e-21	-24459999999959444e-25	-16864734999999956e-22	-6567758399999995e-21	18933600000004084e-24	-57142999999953384e-25	-5141971899999994e-21	-5993389999999555e-23	-2913764899999995e-21	-5211364699999995e-21	11111798999999991e-22	1937417200000001e-21	-714599999996051e-24	13270000000067722e-26
Cr6_Obs_t44	6803887299999999e-21	-2550799999994941e-24	-17532011000000012e-22	-6828424599999999e-21	20945699999999422e-24	-6372200000003821e-24	-5316628000000001e-21	-623581999999996e-22	-30279402000000063e-22	-5419537500000002e-21	11575336000000003e-22	2014608099999996e-21	-7414000000000942e-25	1380000000008447e-25
Cr6_Obs_t45	7072735199999989e-21	-26594000000034867e-25	-18225506000000081e-22	-7099309000000005e-21	23113299999993442e-24	-707950000000939e-23	-5496989700000011e-21	-6488040000000514e-23	-3146790200000011e-21	-56359260000000025e-22	12059204999999992e-22	2094838499999991e-21	-7693000000017749e-25	143399999990787e-24
