Obs	log_k_s2o4_disp	log_k_s2o4_o2	log_k_s2o4_fe3	log_sitefrac	log_k_fe2_o2_fast	log_factor_k_fe2_o2_slow	log_k_fe2_cr6_fast	log_factor_k_fe2_cr6_slow	log_is2o4	log_ifeoh3	log_q	log_aqfrac	log_k_fe2aq_o2	log_k_fe2aq_cr6
Cr6_Obs_t65	0.000237942429	-2914599999999181e-23	-361549549e-13	-60178798200000005e-21	10542439999999944e-22	-508976999999995e-21	-77681466e-12	-18703679999999973e-22	-5707334370000001e-20	-760429027e-13	34728756e-12	45432069e-12	-5379999999949455e-25	-6839999999909288e-25
Cr6_Obs_t66	0.00024715905500000005	-3029700000000389e-23	-37588196e-12	-625671742e-13	11320479999999966e-22	-5459909999999999e-22	-8052204220000002e-20	-1946428000000009e-21	-593350677e-13	-7907437220000001e-20	36175449e-12	4723340700000002e-20	-5600000000154581e-25	-7120000000077954e-25
Cr6_Obs_t67	0.000256724056	-3149100000000678e-23	-39077950400000004e-21	-650497169e-13	12149049999999944e-22	-5853269999999998e-22	-834629932e-13	-2025585000000002e-21	-6168603560000002e-20	-8222617159999999e-20	37681258999999996e-21	49105131e-12	-5830000000014816e-25	-7410000000071136e-25
Cr6_Obs_t68	0.000266649711	-3273299999999744e-23	-406263842e-13	-6763003850000001e-20	13031270000000017e-22	-6271179999999987e-22	-865076005e-13	-21079640000000024e-22	-6412967920000002e-20	-8550296580000002e-20	3924852400000001e-20	5104987100000001e-20	-6070000000038382e-25	-7720000000052164e-25
Cr6_Obs_t69	0.00027694867	-3402200000001036e-23	-4223573880000001e-20	-7031187850000001e-20	13970499999999835e-22	-6715030000000137e-22	-8965923330000002e-20	-2193693000000017e-21	-6666955220000001e-20	-8890958920000001e-20	40879677e-12	53070351999999974e-21	-6310000000061947e-25	-8030000000033193e-25
Cr6_Obs_t70	0.000287633955	-35362000000009234e-24	-43908339e-12	-730991139e-13	14970299999999947e-22	-7186310000000051e-22	-929213557e-13	-2282903999999999e-21	-6930934e-11	-924510564e-13	4257723900000001e-20	55169388e-12	-6549999999916106e-25	-8339999999844815e-25
Cr6_Obs_t71	0.000298718967	-3675499999999284e-23	-456465901e-13	-7599575820000001e-20	16034490000000064e-22	-7686549999999815e-22	-962975226e-13	-23757369999999995e-22	-720528584e-13	-9613256339999999e-20	44343829000000013e-21	57349892000000016e-21	-6769999999951825e-25	-8640000000170733e-25
Cr6_Obs_t72	0.00031021749000000005	-3820300000001079e-23	-4745298680000001e-20	-7900597200000001e-20	1716713000000009e-21	-8217380000000134e-22	-9979138730000001e-20	-2472336999999998e-21	-749040638e-13	-999594995e-13	4618215599999998e-20	59614867999999996e-21	-7009999999975391e-25	-8959999999976279e-25
Cr6_Obs_t73	0.0003221437	-39707000000011646e-24	-4933010720000002e-20	-8213405930000003e-20	18372549999999936e-22	-878049000000015e-21	-0.0001034066952	-25728530000000052e-22	-7786704960000002e-20	-0.00010393744580000001	4809503499999996e-20	61967426e-12	-7250000000168363e-25	-9280000000120637e-25
Cr6_Obs_t74	0.00033451216299999997	-41270999999992985e-24	-51280624499999995e-21	-8538448089999999e-20	19655349999999856e-22	-9377690000000118e-22	-0.00010714729359999998	-2677444999999992e-21	-8094605889999998e-20	-0.0001080721905	50085373000000006e-21	6441077200000002e-20	-7520000000004292e-25	-9629999999907952e-25
Cr6_Obs_t75	0.000347337852	-4289599999998808e-23	-5330729929999998e-20	-88761849e-12	2102043000000009e-21	-10010819999999767e-22	-0.00011101712289999999	-2786270999999981e-21	-8414547889999998e-20	-0.00011236972409999997	52156191000000036e-21	66948222e-12	-7799999999834144e-25	-10000000000021927e-25
Cr6_Obs_t76	0.00036063613399999996	-4458299999999632e-23	-5541299199999999e-20	-922709425e-13	2247299000000019e-21	-1068186999999975e-21	-0.00011502022809999998	-28995010000000044e-22	-874698556e-13	-0.0001168362574	5431061399999999e-20	6958319599999999e-20	-8120000000147909e-25	-10409999999942189e-25
Cr6_Obs_t77	0.000374422784	-4633400000003343e-23	-5760065800000003e-20	-9591670270000002e-20	2401860999999981e-21	-11392860000000198e-22	-0.00011916075020000003	-30173080000000247e-22	-9092389030000002e-20	-0.00012147821860000002	5655188699999998e-20	7231922399999998e-20	-8460000000280114e-25	-1084000000018911e-24
Cr6_Obs_t78	0.00038871398000000004	-48151999999979e-21	-59873357e-12	-9970424649999998e-20	25663180000000122e-22	-12145979999999946e-22	-0.0001234429357	-31398719999999833e-22	-9451245189999998e-20	-0.00012630226859999997	5888337500000002e-20	7515994699999999e-20	-8819999999722539e-25	-11309999999734098e-25
Cr6_Obs_t79	0.000403526311	-5003900000000123e-23	-6223425299999998e-20	-0.00010363886539999999	27413030000000155e-22	-1294349999999982e-21	-0.0001278711312	-32673810000000033e-22	-982405763e-13	-0.00013131530229999999	61308562e-12	7810912e-11	-9199999999830438e-25	-11799999999944559e-25
Cr6_Obs_t80	0.000418876776	-51995999999980926e-24	-6468661600000002e-20	-0.00010772603169999998	2927491000000004e-21	-13787800000000065e-22	-0.0001324497861	-3400027000000002e-21	-0.000102113473	-0.00013652445759999998	63831061e-12	81170614e-12	-9599999999926182e-25	-12309999999804053e-25
Cr6_Obs_t81	0.000434782784	-5402600000000096e-23	-6723382699999999e-20	-0.0001119714045	3125597000000001e-21	-14681390000000004e-22	-0.0001371834539	-3538013000000008e-21	-0.00010613653029999999	-0.0001419371236	6645460700000001e-20	8434841899999999e-20	-10020000000009774e-25	-12839999999990207e-25
Cr6_Obs_t82	0.000451262152	-5613400000000748e-23	-69879382e-12	-0.0001163808344	33363839999999665e-22	-15626900000000242e-22	-0.0001420767918	-3681546999999997e-21	-0.00011031532039999999	-0.00014756094650000002	6918306999999997e-20	8764664399999998e-20	-10460000000081212e-25	-13390000000164208e-25
